codigo_municipio,cod_seccion,mos,area_km2,setr,lat,lon,partes
05002,05002300504,194,23.1060195802,050023005,5.85883578594,-75.4740569725,1
05002,05002300505,126,18.5563748798,050023005,5.83349332068,-75.441238763,1
05002,05002300506,116,19.9471683125,050023005,5.8471566029,-75.4176074781,1
05004,05004300101,25,28.6696173965,050043001,6.67864561499,-76.141515252,1
05004,05004300102,47,20.5049833796,050043001,6.68096518558,-76.0959562642,1
05004,05004300103,14,20.1702005863,050043001,6.64946701697,-76.1362726826,1
05004,05004300104,12,19.6710569994,050043001,6.62010263806,-76.1347485837,1
05004,05004300105,26,25.2369044044,050043001,6.60875722814,-76.1160298253,1
05004,05004300201,186,20.1461400464,050043002,6.71988972094,-76.066496988,1
05004,05004300202,84,22.6770307355,050043002,6.68363961303,-76.0649170317,1
05004,05004300203,52,21.9472355439,050043002,6.64500712314,-76.0453655754,1
05004,05004300204,26,17.4943859371,050043002,6.61634408077,-76.0418725862,1
05004,05004300301,41,20.9990058408,050043003,6.60115722032,-76.0793073138,1
05004,05004300302,18,19.5276916438,050043003,6.52745512852,-76.0532056231,1
05004,05004300303,21,20.4455769815,050043003,6.58657378268,-76.0456101109,1
05004,05004300304,26,17.8826669551,050043003,6.56280406942,-76.0436510713,1
05004,05004300305,12,21.4153468962,050043003,6.57179512459,-76.1032474829,1
05021,05021300101,113,25.6905301716,050213001,6.34143487637,-75.1456554462,1
05021,05021300102,244,19.6358691679,050213001,6.38227325275,-75.1203827649,1
05021,05021300103,256,21.1579603208,050213001,6.38457403109,-75.0774283449,1
05021,05021300104,225,21.5022567316,050213001,6.33899776718,-75.105635236,1
05021,05021300105,187,18.5145528852,050213001,6.35857098327,-75.0548504188,1
05021,05021300106,5,21.9533597082,050213001,6.39207526108,-75.0267235946,1
05030,05030300101,883,16.9236818427,050303001,6.05431312216,-75.7239764789,1
05030,05030300102,1054,16.3401497035,050303001,6.06473201766,-75.6902522917,1
05030,05030300103,653,24.4385801075,050303001,6.01253256221,-75.7301007161,1
