municipio;hombres;mujeres;total;mesas;puestos;codigo_municpio;censo_electoral
URAMITA;3638;3168;6806;21;3;05842;6806
URRAO;13412;12843;26255;78;9;05847;26255
VALDIVIA;6705;5972;12677;38;3;05854;12677
VALPARAÍSO;2935;2748;5683;17;2;05856;5683
VEGACHÍ;6363;6073;12436;37;4;05858;12436
VIGÍA DEL FUERTE;3481;3461;6942;25;9;05873;6942
VENECIA;5692;5729;11421;35;6;05861;11421
YALÍ;3564;3017;6581;20;2;05885;6581
YARUMAL;17534;18028;35562;108;17;05887;35562
YOLOMBÓ;9074;8402;17476;53;8;05890;17476
YONDÓ;8724;7539;16263;50;7;05893;16263
ZARAGOZA;11441;10703;22144;68;8;05895;22144
